,event_id_cnty,event_date,year,time_precision,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin1,admin2,admin3,location,latitude,longitude,geo_precision,fatalities,tags,population_best,civilian_targeting_dummy
0,UKR52270,2022-02-24,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,2,0,,128567.0,0
1,UKR52204,2022-02-24,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),Civilians (Ukraine),State forces,State forces-External/Other forces,,Vinnytsia,Khmilnytskyi,Kalynivska,Kalynivka,49.4539,28.5261,1,2,,14499.0,0
2,UKR236620,2022-02-24,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Police Forces of Ukraine (2019-) State Border Guard Service,,State forces,State forces-External/Other forces,,Kherson,Skadovskyi,Skadovska,Skadovsk,46.1161,32.9112,1,3,,15752.0,0
3,UKR52250,2022-02-25,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Snihurivska,Snihurivka,47.0702,32.7914,1,0,,11953.0,0
4,UKR52208,2022-02-25,2022,1,Military Forces of Ukraine (2019-),,State forces,Military Forces of Russia (2000-) Air Force,,External/Other forces,State forces-External/Other forces,,Cherkasy,Zolotoniskyi,Voznesenska,Voznesenske,49.7557,32.1571,1,0,,3641.0,0
5,UKR52309,2022-02-26,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) Air Force,,External/Other forces,State forces-External/Other forces,,Kyiv,Bilotserkivskyi,Bilotserkivska,Bila Tserkva,49.8094,30.1121,2,0,,81559.0,0
6,UKR52346,2022-02-26,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) Air Force,,External/Other forces,State forces-External/Other forces,,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,1,0,,126234.0,0
7,UKR52288,2022-02-26,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Chernihiv,Nizhynskyi,Talalaivska,Velyka Doroha,50.8736,32.0028,1,0,,727.0,0
8,UKR151636,2022-02-26,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Iziumskyi,Balakliiska,Balakliia,49.4606,36.8527,1,0,,28811.0,0
9,UKR52283,2022-02-26,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) Air Force,,External/Other forces,State forces-External/Other forces,,,,,Eastern Black Sea,43.389,36.519,3,0,,,0
